,alpha-2 code,Countries,Emergency,Police,Ambulance,Fire,Continental Region,Calling_codes,Local_emergency_no
85,🇬🇷,Greece,112,100,166,199,"EU, Europe",+30,"Dial 171 for tourist police, dial 108 for coastguard."
86,🇬🇱,Greenland,112 mobiles only,112 mobiles only,112 mobiles only,112 mobiles only,"EU, Europe",+299,Landlines must call local emergency services. Greenland is part of the Kingdom of Denmark with local emergency numbers.
87,🇬🇩,Grenada,911,-,-,-,North America,+1 473,-
88,🇬🇵,Guadeloupe,-,17,15,18,"French, Americas, North America",+590,-
89,🇬🇺,Guam,911,-,-,-,Oceania,+1 671,-
90,🇬🇹,Guatemala,-,"110, 120","122, 123 or 1554","122, 123 or 1554",North America,+502,-
91,🇬🇳,Guinea,-,122,442-020,1717,Africa,+224,-
92,🇬🇼,Guinea-Bissau,112,112 or 117,112 or 119,112 or 118,Africa,+245,-
93,🇬🇾,Guyana,999,911,913,912,South America,+592,-
94,🇭🇹,Haiti,118,-,-,-,North America,+509,-
95,🇭🇳,Honduras,911,911,195,198,North America,+504,-
96,🇭🇰,Hong Kong,"999 on landlines
112 on mobiles",-,-,-,Asia,+852,Hong Kong is now a SAR (special administrative region) of China.
97,🇭🇺,Hungary,112,107,104,105,"EU, Europe",+36,911 emergency calls are redirected to 112 on mobiles.
98,🇮🇸,Iceland,112,-,-,-,Europe,+354,-
99,🇮🇳,India,112,"112, 100","112, 108","112,101",Asia,+91,"Other emergency numbers:
Dial 1363 tourist helpline
Dial 102 for Emergency Disaster Management
Dial 197 for Directory Enquiry."
100,🇮🇩,Indonesia,112,"112, 110","112, 118 or 119","112, 113",Asia,+62,Dial 115 for search and rescue.
101,🇮🇷,Iran,112 on mobiles,110,115,125,Asia,+98,911 and 112 redirect to 110 on mobile phones.
102,🇮🇶,Iraq,122,104,-,115,Asia,+964,-
103,🇮🇪,Ireland,112 or 999,112 or 999,112 or 999,112 or 999,"EU, Europe",+353,112 and 999 numbers work in Ireland and Nothern Ireland and can also be used to reach the coastguard.
104,🇮🇱,Israel,112 on mobiles,100,101,102,Asia,+972,-
105,🇮🇹,Italy,112,113,118,115,"EU, Europe",+39,-
106,🇯🇲,Jamaica,-,119,110,110,"Caribbean, North America",+1 876,From Nov 2018 +1 658 will be an overlay of +1 876.
107,🇯🇵,Japan,-,110,119,119,Asia,+81,911 and 112 redirect to 110 on mobile phones and US military landlines.
108,🇯🇴,Jordan,911,911,911,911,Asia,+962,112 on mobile phones.
109,🇰🇿,Kazakhstan,112,"102, 02","103, 03","101, 01",Asia,"+7-6xx
+7-7xx",Kazakhstan telephone numbers share the Russian unified numbering plan.
110,🇰🇪,Kenya,"999, 999 or 911","112, 999 or 911","999, 999 or 911","999, 999 or 911",Africa,+254,"Local Fire brigade emergency numbers: 020-2222181 or 020-222218
St.Johns Ambulance: 020 221 0000
Kenya Maritime Authority: 110."
111,🇰🇮,Kiribati,-,992,994,993,Oceania,+686,-
112,🇰🇵,North Korea,112 or 119,-,-,-,Asia,+850,-
113,🇰🇷,South Korea,-,112,119,119,Asia,+82,-
114,🇽🇰,Kosovo,112,-,-,-,"EU, Europe",+383,-
115,🇰🇼,Kuwait,112,-,-,-,Asia,+965,-
116,🇰🇬,Kyrgyzstan,-,102,103,101,Asia,+996,-
117,🇱🇦,Laos / Lao,-,191,195,190,Asia,+856,-
118,🇱🇻,Latvia,112,02,03,01,"EU, Europe",+371,-
119,🇱🇧,Lebanon,-,112 or 999,140,175,Asia,+961,-
120,🇱🇸,Lesotho,-,123,121,122,Africa,+266,-
121,🇱🇷,Liberia,911,911,911,911,Africa,+231,-
122,🇱🇾,Libya,1515,-,-,193,Africa,+218,-
123,🇱🇮,Liechtenstein,112,117,144,118,Europe,+423,-
124,🇱🇹,Lithuania,112,-,-,-,"EU, Europe",+370,-
125,🇱🇺,Luxembourg,112,113,-,-,"EU, Europe",+352,-
126,🇲🇴,Macao,"999
110 or 112 on mobiles",-,-,-,Asia,+853,-
127,🇲🇬,Madagascar,-,117,124,118,Africa,+261,-
128,🇲🇼,Malawi,-,997 or 990,998,999,Africa,+265,-
129,🇲🇾,Malaysia,112 or 999,-,-,-,Asia,+60,-
130,🇲🇻,Maldives,102,119,102,118,Asia,+960,-
131,🇲🇱,Mali,-,17,"15, 112","18, 112",Africa,+223,-
132,🇲🇹,Malta,112,-,-,-,"EU, Europe",+356,-
133,🇲🇭,Marshall Islands,911,-,-,-,"COFA, Oceania",+692,-
134,🇲🇶,Martinique,-,17,15,18,"French, Americas, North America",+596,-
135,🇲🇷,Mauritania,-,117,101,118,Africa,+222,-
136,🇲🇺,Mauritius,999,-,-,-,Africa,+230,-
137,🇾🇹,Mayotte,-,17,15,18,"French, Africa",+262,-
138,🇲🇽,Mexico,911 or 066,066,065,068,North America,+52,-
139,🇫🇲,"Micronesia, Federated States of",911,-,-,-,"COFA, Oceania",+691,-
140,🇲🇩,Moldova,112,122,124,123,Europe,+373,-
141,🇲🇨,Monaco,112,-,-,-,Europe,+377,-
142,🇲🇳,Mongolia,100,102,103,101,Asia,+976,Dial 100 to connect to any emergency service.
143,🇲🇪,Montenegro,112,102,124,123,"EU, Europe",+382,-
144,🇲🇸,Montserrat,-,999,911,911,"British, Caribbean",+1 664,"Police local emergency numbers: +1 (664) 491 2555/2355/2556/4255
Local Fire, Search and Rescue: +1 (664) 491 7790."
145,🇲🇦,Morocco,112 on mobiles,19,15,15,Africa,+212,-
146,🇲🇿,Mozambique,-,119,117,198,Africa,+258,-
147,🇲🇲,Myanmar (Burma),999,199,192,191,Asia,+95,-
148,🇳🇦,Namibia,112,10 111,-,-,Africa,+264,-
149,🇳🇷,Nauru,-,110,111,112,Oceania,+674,-
150,🇳🇵,Nepal,112 on mobiles,100 or 103,102,101,Asia,+977,-
151,🇳🇱,Netherlands,112,-,-,-,"EU, Europe",+31,-
152,🇳🇨,New Caledonia,112,17, 15,18,Oceania,+687,-
153,🇳🇿,New Zealand,111,-,-,-,Oceania,+64,Emergency calls to 112 and 911 numbers from mobile phones are redirected to 111
154,🇳🇮,Nicaragua,118,-,-,-,North America,+505,-
155,🇳🇪,Niger,-,17,15,18,Africa,+227,-
156,🇳🇬,Nigeria,112,112,112,112,Africa,+234,-
157,🇳🇺,Niue,999,-,-,-,"British, Oceania",+683,-
158,🇳🇫,Norfolk Island,999,977,911,955,"Australian, Oceania",+672,-
159,🇲🇰,North Macedonia,112,194,192,193,Europe,+389,-
160,🇲🇵,Northern Mariana Islands,911,-,-,-,"USA, Oceania",+1 670,"Local emergency numbers:
Medical: 670-664-9135 and 670-664-9136
Fire: 670-664-9140."
161,🇳🇴,Norway,-,112,113,110,Europe,+47,-
162,🇴🇲,Oman,999,-,-,-,Asia,+968,-
163,🇵🇰,Pakistan,"15, 1122 landlines
112 mobiles",15,115,16,Asia,+92,Dial 15 or 1122 to connect to any emergency service.
164,🇵🇼,Palau,911,-,-,-,"COFA, Oceania",+680,-
165,🇵🇸,Palestinian Territories,-,-,-,-,-,+92,-
166,🇵🇦,Panama,911,-,-,-,North America,+507,-
167,🇵🇬,Papua New Guinea,111,-,-,-,Oceania,+675,-
168,🇵🇾,Paraguay,911,912,141,132,South America,+595,-
169,🇵🇪,Peru,911,105,105,106,South America,+51,-
170,🇵🇭,Philippines,"117, 112 and 911",-,-,-,Asia,+63,Send emergency SMS text messages via 117.
171,🇵🇳,Pitcairn Islands,-,-,-,-,"British, Oceania",+64,-
172,🇵🇱,Poland,112,997,999,998,"EU, Europe",+48,-
173,🇵🇹,Portugal,112,-,-,-,"EU, Europe",+351,-
174,🇵🇷,Puerto Rico,911,-,-,-,North America,+1 787,-
175,🇶🇦,Qatar,999,-,-,-,Asia,+974,-
176,🇷🇪,Réunion,112,17,15,18,"French, Africa",+262,-
177,🇷🇴,Romania,112,-,-,-,"EU, Europe",+40,-
178,🇷🇺,Russia,112,-,-,-,"Asia, Europe",+7,Refer to the Russian unified numbering plan for full details.
179,🇷🇼,Rwanda,112,-,-,-,Africa,+250,-
180,🇸🇭,Saint Helena,-,999,911,999,"British, Africa",+290,-
181,🇰🇳,Saint Kitts & Nevis,-,911,911,333,"Caribbean, North America",+1 869,-
182,🇱🇨,Saint Lucia,911 or 999,-,-,-,North America,+1 758,-
183,🇲🇫,Saint Martin,-,911,912,910,Caribbean.,+33,-
184,🇵🇲,Saint Pierre & Miquelon,-,17,15,18,"French, North America",+508,-
185,🇻🇨,Saint Vincent & Grenadines,999 or 911,-,-,-,North America,+1 784,-
186,🇼🇸,Samoa,999,995,996,994,Oceania,+685,-
187,🇸🇲,San Marino,-,113,118,115,Europe,+378,If dialing from Italy dial +39 0549.
188,🇸🇹,São Tomé & Príncipe,-,222222,"221221, 221222 & 221234",112,Africa,+239,Local hospital emergency numbers: +239 2-221-222.
189,🇸🇦,Saudi Arabia,-,999,997,998,Asia,+966,-
190,🇸🇳,Senegal,-,17,33 889 1515,18,Africa,+221,Dial 33-860-3810 for tourist police.
191,🇷🇸,Serbia,112,192,194,193,Europe,+381,-
192,🇸🇨,Seychelles,112 or 999,133,151,-,Africa,+248,-
193,🇸🇱,Sierra Leone,-,999,999,019,Africa,+232,-
194,🇸🇬,Singapore,112 on foreign mobiles,999,995,995,Asia,+65,-
195,🇸🇰,Slovakia,112,158,155,150,"EU, Europe",+421,-
196,🇸🇮,Slovenia,112,113,-,-,"EU, Europe",+386,-
197,🇸🇧,Solomon Islands,999,-,-,-,"Africa, Oceania",+677,-
198,🇸🇴,Somalia,-,888,999,555,Africa,+252,-
199,🇿🇦,South Africa,112 on mobiles,10111,10177,10111,Africa,+27,In Cape Town the emergency number is 107.
200,🇬🇸,South Georgia & South Sandwich Islands,999,999,999,999,"British, Antartic",+500,-
201,🇸🇸,South Sudan,999,999,999,999,Africa,+211,-
202,🇪🇸,Spain,112,-,-,-,"EU, Europe",+34,-
203,🇱🇰,Sri Lanka,-,"119, 118",110,111,Asia,+94,-
204,🇸🇩,Sudan,999,-,-,-,Africa,+249,-
205,🇸🇷,Suriname,115,115,"115, 113","115, 110",South America,+597,-
206,🇸🇪,Sweden,112,-,-,-,"EU, Europe",+46,-
207,🇨🇭,Switzerland,112,117,144,118,Europe,+41,-
208,🇸🇾,Syria,-,112,110,113,Asia,+963,-
209,🇹🇼,"Taiwan, Republic of China",112 on mobiles,110,119,119,Asia,+886,-
210,🇹🇯,Tajikistan,112 on mobiles,102,103,101,Asia,+992,-
211,🇹🇿,Tanzania,112,112,114,115,Africa,+255,-
212,🇹🇭,Thailand,911 or 191,191,1669,199,Asia,+66,Dial 1155 for Tourist Police.
213,🇹🇬,Togo,-,117 or 161,8200,118,Africa,+228,-
214,🇹🇰,Tokelau,-,-,-,-,"New Zealand, Oceania",+690,-
215,🇹🇴,Tonga,911,922,933,999,Oceania,+676,-
216,🇹🇹,Trinidad & Tobago,-,999 or 911,811,990,"Caribbean, North America",+1 868,-
217,🇹🇳,Tunisia,-,197,190,198,Africa,+216,-
218,🇹🇷,Turkey,112,-,-,-,Asia,+90,-
219,🇹🇲,Turkmenistan,112,102,103,101,Asia,+993,-
220,🇹🇨,Turks & Caicos Islands,911 or 999,-,-,-,"British, Caribbean, North America",+1 649,-
221,🇹🇻,Tuvalu,-,911,-,-,Oceania,+688,-
222,🇺🇬,Uganda,"999, 112 mobiles","999, 112","999, 112","999, 112",Africa,+256,-
223,🇺🇦,Ukraine,112,-,-,-,Europe,+380,-
224,🇦🇪,United Arab Emirates,-,"999, 112","999, 998",997,Asia,+971,-
225,🇬🇧,"United Kingdom (UK; England, Scotland, Wales, Northern Island)",112 0r 999,999 or 112,999,999,"EU, Europe",+44,"Dial emergency number and ask for “Fire”, “Police” or “Ambulance”. Pre-register to send SMS text messages to 999."
226,🇺🇸,United States of America,911,-,-,-,North America,+1,"Emergency calls to 112 will sometimes, but not always, redirect to the 911 number. The American police number is accessed via the 911 number."
227,🇺🇾,Uruguay,911,109,105,104,South America,+598,-
228,🇺🇿,Uzbekistan,-,102,103,101,Asia,+998,-
229,🇻🇺,Vanuatu,112,-,-,-,Oceania,+678,-
230,🇻🇦,Vatican City / Holy See,-,113,118,115,Europe,"+39, +379",Emergency calls to 111 from mobiles are redirected to 113 (Police).
231,🇻🇪,Venezuela,"911, 171","911, 171","911, 171","911, 171",South America,+58,-
232,🇻🇳,Vietnam,-,113,115,114,Asia,+84,-
233,🇻🇮,United States Virgin Islands,911,-,-,-,US.,+1 340,Local hospital emergency numbers: Roy L. Schneider Hospital: 776.8311
234,🇼🇫,Wallis & Futuna,-,18,15,17,"French, Oceania",+681,-
235,🇪🇭,Western Sahara,150,-,-,-,Africa,+212,This disputed state is part of Morocco.
236,🇾🇪,Yemen,-,194,191,191,Asia,+967,-
237,🇿🇲,Zambia,112,999,993,991,Africa,+260,-
238,🇿🇼,Zimbabwe,999,995,994,993,Africa,+264,-
